date_cleaned,topic_split,count
2021-06-18,armed conflicts and attacks,6
2021-06-18,disasters and accidents,6
2021-06-18,health and environment,6
2021-06-18,law and crime and politics,6
2021-06-18,politics and elections and economics,6
2021-06-18,sports,6
2021-06-19,armed conflicts and attacks,5
2021-06-19,health and environment,5
2021-06-19,international relations,5
2021-06-19,law and crime and politics,5
2021-06-19,politics and elections and economics,5
2021-06-20,disasters and accidents,6
2021-06-20,health and environment,6
2021-06-20,international relations,6
2021-06-20,law and crime and politics,6
2021-06-20,politics and elections and economics,6
2021-06-20,sports,6
2021-06-21,health and environment,5
2021-06-21,international relations,5
2021-06-21,law and crime and politics,5
2021-06-21,politics and elections and economics,5
2021-06-21,sports,5
2021-06-22,armed conflicts and attacks,6
2021-06-22,business and economics,6
2021-06-22,health and environment,6
2021-06-22,international relations,6
2021-06-22,law and crime and politics,6
2021-06-22,science and technology,6
2021-06-23,armed conflicts and attacks,4
2021-06-23,health and environment,4
2021-06-23,international relations,4
2021-06-23,law and crime and politics,4
2021-06-24,armed conflicts and attacks,10
2021-06-24,arts and culture,10
2021-06-24,business and economics,10
2021-06-24,disasters and accidents,10
2021-06-24,health and environment,10
2021-06-24,international relations,10
2021-06-24,law and crime and politics,10
2021-06-24,politics and elections and economics,10
2021-06-24,science and technology,10
2021-06-24,sports,10
2021-06-25,armed conflicts and attacks,7
2021-06-25,business and economics,7
2021-06-25,disasters and accidents,7
2021-06-25,health and environment,7
2021-06-25,law and crime and politics,7
2021-06-25,politics and elections and economics,7
2021-06-25,science and technology,7
2021-06-26,armed conflicts and attacks,4
2021-06-26,disasters and accidents,4
2021-06-26,health and environment,4
2021-06-26,politics and elections and economics,4
2021-06-27,armed conflicts and attacks,5
2021-06-27,disasters and accidents,5
2021-06-27,health and environment,5
2021-06-27,international relations,5
2021-06-27,law and crime and politics,5
2021-06-28,armed conflicts and attacks,7
2021-06-28,disasters and accidents,7
2021-06-28,health and environment,7
2021-06-28,international relations,7
2021-06-28,law and crime and politics,7
2021-06-28,politics and elections and economics,7
2021-06-28,science and technology,7
2021-06-29,armed conflicts and attacks,8
2021-06-29,arts and culture,8
2021-06-29,business and economics,8
2021-06-29,disasters and accidents,8
2021-06-29,health and environment,8
2021-06-29,international relations,8
2021-06-29,law and crime and politics,8
2021-06-29,politics and elections and economics,8
2021-06-30,armed conflicts and attacks,8
2021-06-30,business and economics,8
2021-06-30,disasters and accidents,8
2021-06-30,health and environment,8
2021-06-30,international relations,8
2021-06-30,law and crime and politics,8
2021-06-30,politics and elections and economics,8
2021-06-30,sports,8
2021-07-01,armed conflicts and attacks,9
2021-07-01,arts and culture,9
2021-07-01,business and economics,9
2021-07-01,disasters and accidents,9
2021-07-01,health and environment,9
2021-07-01,international relations,9
2021-07-01,law and crime and politics,9
2021-07-01,politics and elections and economics,9
2021-07-01,science and technology,9
2021-07-02,armed conflicts and attacks,6
2021-07-02,disasters and accidents,6
2021-07-02,health and environment,6
2021-07-02,international relations,6
2021-07-02,law and crime and politics,6
2021-07-02,politics and elections and economics,6
2021-07-03,armed conflicts and attacks,5
2021-07-03,business and economics,5
2021-07-03,disasters and accidents,5
2021-07-03,health and environment,5
2021-07-03,law and crime and politics,5
2021-07-04,armed conflicts and attacks,4
2021-07-04,disasters and accidents,4
2021-07-04,health and environment,4
2021-07-04,politics and elections and economics,4
2021-07-05,armed conflicts and attacks,4
2021-07-05,disasters and accidents,4
2021-07-05,health and environment,4
2021-07-05,law and crime and politics,4
2021-07-06,armed conflicts and attacks,7
2021-07-06,disasters and accidents,7
2021-07-06,health and environment,7
2021-07-06,international relations,7
2021-07-06,law and crime and politics,7
2021-07-06,politics and elections and economics,7
2021-07-06,sports,7
2021-07-07,armed conflicts and attacks,5
2021-07-07,health and environment,5
2021-07-07,law and crime and politics,5
2021-07-07,politics and elections and economics,5
2021-07-07,sports,5
2021-07-08,armed conflicts and attacks,7
2021-07-08,disasters and accidents,7
2021-07-08,health and environment,7
2021-07-08,international relations,7
2021-07-08,law and crime and politics,7
2021-07-08,politics and elections and economics,7
2021-07-08,sports,7
2021-07-09,armed conflicts and attacks,8
2021-07-09,business and economics,8
2021-07-09,disasters and accidents,8
2021-07-09,health and environment,8
2021-07-09,international relations,8
2021-07-09,law and crime and politics,8
2021-07-09,politics and elections and economics,8
2021-07-09,science and technology,8
2021-07-10,armed conflicts and attacks,7
2021-07-10,arts and culture,7
2021-07-10,disasters and accidents,7
2021-07-10,health and environment,7
2021-07-10,law and crime and politics,7
2021-07-10,politics and elections and economics,7
2021-07-10,sports,7
2021-07-11,armed conflicts and attacks,8
2021-07-11,disasters and accidents,8
2021-07-11,health and environment,8
2021-07-11,international relations,8
2021-07-11,law and crime and politics,8
2021-07-11,politics and elections and economics,8
2021-07-11,science and technology,8
2021-07-11,sports,8
2021-07-12,armed conflicts and attacks,6
2021-07-12,disasters and accidents,6
2021-07-12,health and environment,6
2021-07-12,international relations,6
2021-07-12,law and crime and politics,6
2021-07-12,politics and elections and economics,6
2021-07-13,armed conflicts and attacks,6
2021-07-13,business and economics,6
2021-07-13,health and environment,6
2021-07-13,international relations,6
2021-07-13,law and crime and politics,6
2021-07-13,politics and elections and economics,6
2021-07-14,armed conflicts and attacks,7
2021-07-14,disasters and accidents,7
2021-07-14,health and environment,7
2021-07-14,international relations,7
2021-07-14,law and crime and politics,7
2021-07-14,politics and elections and economics,7
2021-07-14,science and technology,7
2021-07-15,armed conflicts and attacks,7
2021-07-15,disasters and accidents,7
2021-07-15,health and environment,7
2021-07-15,international relations,7
2021-07-15,law and crime and politics,7
2021-07-15,politics and elections and economics,7
2021-07-15,sports,7
2021-07-16,armed conflicts and attacks,7
2021-07-16,arts and culture,7
2021-07-16,disasters and accidents,7
2021-07-16,health and environment,7
2021-07-16,international relations,7
2021-07-16,law and crime and politics,7
2021-07-16,science and technology,7
2021-07-17,armed conflicts and attacks,6
2021-07-17,health and environment,6
2021-07-17,international relations,6
2021-07-17,law and crime and politics,6
2021-07-17,politics and elections and economics,6
2021-07-17,sports,6
2021-07-18,armed conflicts and attacks,4
2021-07-18,business and economics,4
2021-07-18,disasters and accidents,4
2021-07-18,health and environment,4
2021-07-19,armed conflicts and attacks,8
2021-07-19,business and economics,8
2021-07-19,health and environment,8
2021-07-19,international relations,8
2021-07-19,law and crime and politics,8
2021-07-19,politics and elections and economics,8
2021-07-19,science and technology,8
2021-07-19,sports,8
2021-07-20,armed conflicts and attacks,8
2021-07-20,disasters and accidents,8
2021-07-20,health and environment,8
2021-07-20,international relations,8
2021-07-20,law and crime and politics,8
2021-07-20,politics and elections and economics,8
2021-07-20,science and technology,8
2021-07-20,sports,8
2021-07-21,armed conflicts and attacks,8
2021-07-21,arts and culture,8
2021-07-21,disasters and accidents,8
2021-07-21,health and environment,8
2021-07-21,international relations,8
2021-07-21,law and crime and politics,8
2021-07-21,science and technology,8
2021-07-21,sports,8
2021-07-22,armed conflicts and attacks,5
2021-07-22,health and environment,5
2021-07-22,international relations,5
2021-07-22,law and crime and politics,5
2021-07-22,politics and elections and economics,5
2021-07-23,armed conflicts and attacks,7
2021-07-23,business and economics,7
2021-07-23,health and environment,7
2021-07-23,international relations,7
2021-07-23,law and crime and politics,7
2021-07-23,politics and elections and economics,7
2021-07-23,sports,7
2021-07-24,armed conflicts and attacks,6
2021-07-24,arts and culture,6
2021-07-24,disasters and accidents,6
2021-07-24,health and environment,6
2021-07-24,politics and elections and economics,6
2021-07-24,sports,6
2021-07-25,armed conflicts and attacks,6
2021-07-25,disasters and accidents,6
2021-07-25,health and environment,6
2021-07-25,law and crime and politics,6
2021-07-25,politics and elections and economics,6
2021-07-25,sports,6
2021-07-26,armed conflicts and attacks,7
2021-07-26,disasters and accidents,7
2021-07-26,health and environment,7
2021-07-26,international relations,7
2021-07-26,law and crime and politics,7
2021-07-26,politics and elections and economics,7
2021-07-26,sports,7
2021-07-27,armed conflicts and attacks,7
2021-07-27,arts and culture,7
2021-07-27,disasters and accidents,7
2021-07-27,health and environment,7
2021-07-27,international relations,7
2021-07-27,law and crime and politics,7
2021-07-27,sports,7
2021-07-28,armed conflicts and attacks,7
2021-07-28,business and economics,7
2021-07-28,disasters and accidents,7
2021-07-28,health and environment,7
2021-07-28,law and crime and politics,7
2021-07-28,politics and elections and economics,7
2021-07-28,sports,7
2021-07-29,armed conflicts and attacks,7
2021-07-29,arts and culture,7
2021-07-29,disasters and accidents,7
2021-07-29,health and environment,7
2021-07-29,law and crime and politics,7
2021-07-29,politics and elections and economics,7
2021-07-29,sports,7
2021-07-30,armed conflicts and attacks,4
2021-07-30,health and environment,4
2021-07-30,international relations,4
2021-07-30,law and crime and politics,4
2021-07-31,armed conflicts and attacks,5
2021-07-31,disasters and accidents,5
2021-07-31,health and environment,5
2021-07-31,politics and elections and economics,5
2021-07-31,sports,5
2021-08-01,armed conflicts and attacks,8
2021-08-01,arts and culture,8
2021-08-01,disasters and accidents,8
2021-08-01,health and environment,8
2021-08-01,international relations,8
2021-08-01,law and crime and politics,8
2021-08-01,politics and elections and economics,8
2021-08-01,sports,8
2021-08-02,armed conflicts and attacks,6
2021-08-02,disasters and accidents,6
2021-08-02,health and environment,6
2021-08-02,law and crime and politics,6
2021-08-02,politics and elections and economics,6
2021-08-02,sports,6
2021-08-03,armed conflicts and attacks,6
2021-08-03,health and environment,6
2021-08-03,international relations,6
2021-08-03,law and crime and politics,6
2021-08-03,science and technology,6
2021-08-03,sports,6
2021-08-04,armed conflicts and attacks,6
2021-08-04,disasters and accidents,6
2021-08-04,health and environment,6
2021-08-04,international relations,6
2021-08-04,law and crime and politics,6
2021-08-04,sports,6
2021-08-05,armed conflicts and attacks,7
2021-08-05,disasters and accidents,7
2021-08-05,health and environment,7
2021-08-05,law and crime and politics,7
2021-08-05,politics and elections and economics,7
2021-08-05,science and technology,7
2021-08-05,sports,7
2021-08-06,armed conflicts and attacks,7
2021-08-06,disasters and accidents,7
2021-08-06,health and environment,7
2021-08-06,international relations,7
2021-08-06,law and crime and politics,7
2021-08-06,politics and elections and economics,7
2021-08-06,sports,7
2021-08-07,armed conflicts and attacks,2
2021-08-07,health and environment,2
2021-08-08,armed conflicts and attacks,6
2021-08-08,arts and culture,6
2021-08-08,health and environment,6
2021-08-08,law and crime and politics,6
2021-08-08,politics and elections and economics,6
2021-08-08,sports,6
2021-08-09,armed conflicts and attacks,7
2021-08-09,disasters and accidents,7
2021-08-09,health and environment,7
2021-08-09,international relations,7
2021-08-09,law and crime and politics,7
2021-08-09,politics and elections and economics,7
2021-08-09,science and technology,7
2021-08-10,armed conflicts and attacks,6
2021-08-10,disasters and accidents,6
2021-08-10,health and environment,6
2021-08-10,law and crime and politics,6
2021-08-10,politics and elections and economics,6
2021-08-10,science and technology,6
2021-08-11,armed conflicts and attacks,7
2021-08-11,business and economics,7
2021-08-11,disasters and accidents,7
2021-08-11,health and environment,7
2021-08-11,law and crime and politics,7
2021-08-11,politics and elections and economics,7
2021-08-11,science and technology,7
2021-08-12,armed conflicts and attacks,6
2021-08-12,disasters and accidents,6
2021-08-12,health and environment,6
2021-08-12,international relations,6
2021-08-12,law and crime and politics,6
2021-08-12,politics and elections and economics,6
2021-08-13,armed conflicts and attacks,5
2021-08-13,disasters and accidents,5
2021-08-13,health and environment,5
2021-08-13,law and crime and politics,5
2021-08-13,politics and elections and economics,5
2021-08-14,armed conflicts and attacks,5
2021-08-14,disasters and accidents,5
2021-08-14,health and environment,5
2021-08-14,international relations,5
2021-08-14,politics and elections and economics,5
2021-08-15,armed conflicts and attacks,7
2021-08-15,disasters and accidents,7
2021-08-15,health and environment,7
2021-08-15,international relations,7
2021-08-15,law and crime and politics,7
2021-08-15,politics and elections and economics,7
2021-08-15,science and technology,7
2021-08-16,armed conflicts and attacks,6
2021-08-16,disasters and accidents,6
2021-08-16,health and environment,6
2021-08-16,law and crime and politics,6
2021-08-16,politics and elections and economics,6
2021-08-16,sports,6
2021-08-17,armed conflicts and attacks,5
2021-08-17,disasters and accidents,5
2021-08-17,health and environment,5
2021-08-17,politics and elections and economics,5
2021-08-17,science and technology,5
2021-08-18,armed conflicts and attacks,4
2021-08-18,disasters and accidents,4
2021-08-18,health and environment,4
2021-08-18,sports,4
2021-08-19,armed conflicts and attacks,8
2021-08-19,business and economics,8
2021-08-19,disasters and accidents,8
2021-08-19,health and environment,8
2021-08-19,international relations,8
2021-08-19,law and crime and politics,8
2021-08-19,science and technology,8
2021-08-19,sports,8
2021-08-20,armed conflicts and attacks,5
2021-08-20,health and environment,5
2021-08-20,international relations,5
2021-08-20,other current events,5
2021-08-20,politics and elections and economics,5
2021-08-21,armed conflicts and attacks,6
2021-08-21,health and environment,6
2021-08-21,international relations,6
2021-08-21,law and crime and politics,6
2021-08-21,politics and elections and economics,6
2021-08-21,science and technology,6
2021-08-22,armed conflicts and attacks,5
2021-08-22,disasters and accidents,5
2021-08-22,health and environment,5
2021-08-22,international relations,5
2021-08-22,politics and elections and economics,5
2021-08-23,armed conflicts and attacks,6
2021-08-23,disasters and accidents,6
2021-08-23,health and environment,6
2021-08-23,international relations,6
2021-08-23,law and crime and politics,6
2021-08-23,politics and elections and economics,6
2021-08-24,armed conflicts and attacks,7
2021-08-24,disasters and accidents,7
2021-08-24,health and environment,7
2021-08-24,international relations,7
2021-08-24,law and crime and politics,7
2021-08-24,politics and elections and economics,7
2021-08-24,sports,7
2021-08-25,armed conflicts and attacks,6
2021-08-25,business and economics,6
2021-08-25,disasters and accidents,6
2021-08-25,health and environment,6
2021-08-25,law and crime and politics,6
2021-08-25,politics and elections and economics,6
2021-08-26,armed conflicts and attacks,7
2021-08-26,arts and culture,7
2021-08-26,disasters and accidents,7
2021-08-26,health and environment,7
2021-08-26,international relations,7
2021-08-26,law and crime and politics,7
2021-08-26,politics and elections and economics,7
2021-08-27,armed conflicts and attacks,5
2021-08-27,business and economics,5
2021-08-27,health and environment,5
2021-08-27,law and crime and politics,5
2021-08-27,politics and elections and economics,5
2021-08-28,armed conflicts and attacks,4
2021-08-28,disasters and accidents,4
2021-08-28,health and environment,4
2021-08-28,politics and elections and economics,4
2021-08-29,armed conflicts and attacks,4
2021-08-29,disasters and accidents,4
2021-08-29,health and environment,4
2021-08-29,law and crime and politics,4
2021-08-30,armed conflicts and attacks,7
2021-08-30,arts and culture,7
2021-08-30,disasters and accidents,7
2021-08-30,health and environment,7
2021-08-30,international relations,7
2021-08-30,law and crime and politics,7
2021-08-30,sports,7
2021-08-31,armed conflicts and attacks,7
2021-08-31,disasters and accidents,7
2021-08-31,health and environment,7
2021-08-31,international relations,7
2021-08-31,law and crime and politics,7
2021-08-31,politics and elections and economics,7
2021-08-31,science and technology,7
2021-09-01,armed conflicts and attacks,7
2021-09-01,business and economics,7
2021-09-01,disasters and accidents,7
2021-09-01,health and environment,7
2021-09-01,international relations,7
2021-09-01,law and crime and politics,7
2021-09-01,politics and elections and economics,7
2021-09-02,armed conflicts and attacks,5
2021-09-02,disasters and accidents,5
2021-09-02,health and environment,5
2021-09-02,international relations,5
2021-09-02,law and crime and politics,5
2021-09-03,armed conflicts and attacks,5
2021-09-03,health and environment,5
2021-09-03,international relations,5
2021-09-03,law and crime and politics,5
2021-09-03,politics and elections and economics,5
2021-09-04,armed conflicts and attacks,6
2021-09-04,business and economics,6
2021-09-04,health and environment,6
2021-09-04,international relations,6
2021-09-04,law and crime and politics,6
2021-09-04,sports,6
2021-09-05,armed conflicts and attacks,6
2021-09-05,disasters and accidents,6
2021-09-05,health and environment,6
2021-09-05,law and crime and politics,6
2021-09-05,politics and elections and economics,6
2021-09-05,sports,6
2021-09-06,armed conflicts and attacks,7
2021-09-06,arts and culture,7
2021-09-06,business and economics,7
2021-09-06,disasters and accidents,7
2021-09-06,health and environment,7
2021-09-06,international relations,7
2021-09-06,law and crime and politics,7
2021-09-07,armed conflicts and attacks,6
2021-09-07,business and economics,6
2021-09-07,disasters and accidents,6
2021-09-07,health and environment,6
2021-09-07,law and crime and politics,6
2021-09-07,politics and elections and economics,6
2021-09-08,armed conflicts and attacks,6
2021-09-08,disasters and accidents,6
2021-09-08,health and environment,6
2021-09-08,international relations,6
2021-09-08,law and crime and politics,6
2021-09-08,sports,6
2021-09-09,armed conflicts and attacks,7
2021-09-09,arts and culture,7
2021-09-09,business and economics,7
2021-09-09,disasters and accidents,7
2021-09-09,health and environment,7
2021-09-09,international relations,7
2021-09-09,politics and elections and economics,7
2021-09-10,armed conflicts and attacks,9
2021-09-10,arts and culture,9
2021-09-10,business and economics,9
2021-09-10,disasters and accidents,9
2021-09-10,health and environment,9
2021-09-10,international relations,9
2021-09-10,law and crime and politics,9
2021-09-10,politics and elections and economics,9
2021-09-10,religion and politics,9
2021-09-11,armed conflicts and attacks,7
2021-09-11,arts and culture,7
2021-09-11,health and environment,7
2021-09-11,international relations,7
2021-09-11,law and crime and politics,7
2021-09-11,religion and politics,7
2021-09-11,sports,7
2021-09-12,armed conflicts and attacks,8
2021-09-12,arts and culture,8
2021-09-12,disasters and accidents,8
2021-09-12,health and environment,8
2021-09-12,international relations,8
2021-09-12,politics and elections and economics,8
2021-09-12,religion and politics,8
2021-09-12,sports,8
2021-09-13,armed conflicts and attacks,6
2021-09-13,business and economics,6
2021-09-13,health and environment,6
2021-09-13,international relations,6
2021-09-13,law and crime and politics,6
2021-09-13,politics and elections and economics,6
2021-09-14,armed conflicts and attacks,6
2021-09-14,disasters and accidents,6
2021-09-14,health and environment,6
2021-09-14,international relations,6
2021-09-14,law and crime and politics,6
2021-09-14,politics and elections and economics,6
2021-09-15,armed conflicts and attacks,8
2021-09-15,business and economics,8
2021-09-15,disasters and accidents,8
2021-09-15,health and environment,8
2021-09-15,international relations,8
2021-09-15,law and crime and politics,8
2021-09-15,politics and elections and economics,8
2021-09-15,science and technology,8
2021-09-16,armed conflicts and attacks,8
2021-09-16,arts and culture,8
2021-09-16,disasters and accidents,8
2021-09-16,health and environment,8
2021-09-16,international relations,8
2021-09-16,law and crime and politics,8
2021-09-16,politics and elections and economics,8
2021-09-16,science and technology,8
2021-09-17,armed conflicts and attacks,4
2021-09-17,health and environment,4
2021-09-17,international relations,4
2021-09-17,politics and elections and economics,4
2021-09-18,armed conflicts and attacks,7
2021-09-18,arts and culture,7
2021-09-18,health and environment,7
2021-09-18,law and crime and politics,7
2021-09-18,politics and elections and economics,7
2021-09-18,science and technology,7
2021-09-18,sports,7
2021-09-19,armed conflicts and attacks,7
2021-09-19,arts and culture,7
2021-09-19,disasters and accidents,7
2021-09-19,health and environment,7
2021-09-19,international relations,7
2021-09-19,law and crime and politics,7
2021-09-19,politics and elections and economics,7
2021-09-20,armed conflicts and attacks,7
2021-09-20,business and economics,7
2021-09-20,disasters and accidents,7
2021-09-20,health and environment,7
2021-09-20,international relations,7
2021-09-20,law and crime and politics,7
2021-09-20,politics and elections and economics,7
2021-09-21,armed conflicts and attacks,7
2021-09-21,business and economics,7
2021-09-21,health and environment,7
2021-09-21,international relations,7
2021-09-21,law and crime and politics,7
2021-09-21,politics and elections and economics,7
2021-09-21,sports,7
2021-09-22,armed conflicts and attacks,7
2021-09-22,disasters and accidents,7
2021-09-22,health and environment,7
2021-09-22,international relations,7
2021-09-22,law and crime and politics,7
2021-09-22,politics and elections and economics,7
2021-09-22,sports,7
2021-09-23,armed conflicts and attacks,6
2021-09-23,business and economics,6
2021-09-23,health and environment,6
2021-09-23,international relations,6
2021-09-23,law and crime and politics,6
2021-09-23,science and technology,6
2021-09-24,armed conflicts and attacks,8
2021-09-24,business and economics,8
2021-09-24,disasters and accidents,8
2021-09-24,health and environment,8
2021-09-24,international relations,8
2021-09-24,law and crime and politics,8
2021-09-24,politics and elections and economics,8
2021-09-24,science and technology,8
2021-09-25,armed conflicts and attacks,7
2021-09-25,business and economics,7
2021-09-25,disasters and accidents,7
2021-09-25,health and environment,7
2021-09-25,international relations,7
2021-09-25,politics and elections and economics,7
2021-09-25,sports,7
2021-09-26,armed conflicts and attacks,9
2021-09-26,arts and culture,9
2021-09-26,business and economics,9
2021-09-26,disasters and accidents,9
2021-09-26,health and environment,9
2021-09-26,international relations,9
2021-09-26,law and crime and politics,9
2021-09-26,politics and elections and economics,9
2021-09-26,sports,9
2021-09-27,armed conflicts and attacks,8
2021-09-27,business and economics,8
2021-09-27,disasters and accidents,8
2021-09-27,health and environment,8
2021-09-27,international relations,8
2021-09-27,law and crime and politics,8
2021-09-27,politics and elections and economics,8
2021-09-27,sports,8
2021-09-28,armed conflicts and attacks,7
2021-09-28,business and economics,7
2021-09-28,disasters and accidents,7
2021-09-28,health and environment,7
2021-09-28,international relations,7
2021-09-28,law and crime and politics,7
2021-09-28,science and technology,7
2021-09-29,armed conflicts and attacks,6
2021-09-29,health and environment,6
2021-09-29,international relations,6
2021-09-29,law and crime and politics,6
2021-09-29,politics and elections and economics,6
2021-09-29,science and technology,6
2021-09-30,armed conflicts and attacks,8
2021-09-30,arts and culture,8
2021-09-30,business and economics,8
2021-09-30,health and environment,8
2021-09-30,international relations,8
2021-09-30,law and crime and politics,8
2021-09-30,politics and elections and economics,8
2021-09-30,sports,8
2021-10-01,armed conflicts and attacks,7
2021-10-01,arts and culture,7
2021-10-01,business and economics,7
2021-10-01,health and environment,7
2021-10-01,international relations,7
2021-10-01,law and crime and politics,7
2021-10-01,politics and elections and economics,7
2021-10-02,armed conflicts and attacks,6
2021-10-02,arts and culture,6
2021-10-02,disasters and accidents,6
2021-10-02,health and environment,6
2021-10-02,international relations,6
2021-10-02,politics and elections and economics,6
2021-10-03,armed conflicts and attacks,8
2021-10-03,business and economics,8
2021-10-03,disasters and accidents,8
2021-10-03,health and environment,8
2021-10-03,international relations,8
2021-10-03,law and crime and politics,8
2021-10-03,politics and elections and economics,8
2021-10-03,sports,8
2021-10-04,armed conflicts and attacks,9
2021-10-04,business and economics,9
2021-10-04,disasters and accidents,9
2021-10-04,health and environment,9
2021-10-04,international relations,9
2021-10-04,law and crime and politics,9
2021-10-04,politics and elections and economics,9
2021-10-04,science and technology,9
2021-10-04,sports,9
2021-10-05,armed conflicts and attacks,8
2021-10-05,arts and culture,8
2021-10-05,business and economics,8
2021-10-05,health and environment,8
2021-10-05,international relations,8
2021-10-05,law and crime and politics,8
2021-10-05,politics and elections and economics,8
2021-10-05,science and technology,8
2021-10-06,armed conflicts and attacks,7
2021-10-06,arts and culture,7
2021-10-06,health and environment,7
2021-10-06,international relations,7
2021-10-06,law and crime and politics,7
2021-10-06,politics and elections and economics,7
2021-10-06,science and technology,7
2021-10-07,armed conflicts and attacks,9
2021-10-07,arts and culture,9
2021-10-07,business and economics,9
2021-10-07,disasters and accidents,9
2021-10-07,health and environment,9
2021-10-07,international relations,9
2021-10-07,law and crime and politics,9
2021-10-07,politics and elections and economics,9
2021-10-07,sports,9
2021-10-08,armed conflicts and attacks,5
2021-10-08,business and economics,5
2021-10-08,disasters and accidents,5
2021-10-08,health and environment,5
2021-10-08,politics and elections and economics,5
2021-10-09,armed conflicts and attacks,6
2021-10-09,disasters and accidents,6
2021-10-09,health and environment,6
2021-10-09,international relations,6
2021-10-09,law and crime and politics,6
2021-10-09,politics and elections and economics,6
2021-10-10,armed conflicts and attacks,8
2021-10-10,business and economics,8
2021-10-10,disasters and accidents,8
2021-10-10,health and environment,8
2021-10-10,international relations,8
2021-10-10,law and crime and politics,8
2021-10-10,politics and elections and economics,8
2021-10-10,sports,8
2021-10-11,armed conflicts and attacks,8
2021-10-11,arts and culture,8
2021-10-11,business and economics,8
2021-10-11,disasters and accidents,8
2021-10-11,health and environment,8
2021-10-11,law and crime and politics,8
2021-10-11,politics and elections and economics,8
2021-10-11,sports,8
2021-10-12,armed conflicts and attacks,8
2021-10-12,arts and culture,8
2021-10-12,business and economics,8
2021-10-12,disasters and accidents,8
2021-10-12,health and environment,8
2021-10-12,international relations,8
2021-10-12,law and crime and politics,8
2021-10-12,science and technology,8
2021-10-13,armed conflicts and attacks,6
2021-10-13,disasters and accidents,6
2021-10-13,health and environment,6
2021-10-13,law and crime and politics,6
2021-10-13,science and technology,6
2021-10-13,sports,6
2021-10-14,armed conflicts and attacks,7
2021-10-14,business and economics,7
2021-10-14,disasters and accidents,7
2021-10-14,health and environment,7
2021-10-14,international relations,7
2021-10-14,law and crime and politics,7
2021-10-14,politics and elections and economics,7
2021-10-15,armed conflicts and attacks,5
2021-10-15,disasters and accidents,5
2021-10-15,health and environment,5
2021-10-15,international relations,5
2021-10-15,law and crime and politics,5
2021-10-16,armed conflicts and attacks,6
2021-10-16,disasters and accidents,6
2021-10-16,health and environment,6
2021-10-16,law and crime and politics,6
2021-10-16,politics and elections and economics,6
2021-10-16,science and technology,6
2021-10-17,armed conflicts and attacks,7
2021-10-17,disasters and accidents,7
2021-10-17,health and environment,7
2021-10-17,international relations,7
2021-10-17,law and crime and politics,7
2021-10-17,politics and elections and economics,7
2021-10-17,sports,7
2021-10-18,armed conflicts and attacks,7
2021-10-18,business and economics,7
2021-10-18,health and environment,7
2021-10-18,international relations,7
2021-10-18,law and crime and politics,7
2021-10-18,science and technology,7
2021-10-18,sports,7
2021-10-19,armed conflicts and attacks,4
2021-10-19,health and environment,4
2021-10-19,international relations,4
2021-10-19,law and crime and politics,4
2021-10-20,armed conflicts and attacks,7
2021-10-20,disasters and accidents,7
2021-10-20,health and environment,7
2021-10-20,international relations,7
2021-10-20,law and crime and politics,7
2021-10-20,politics and elections and economics,7
2021-10-20,science and technology,7
2021-10-21,disasters and accidents,5
2021-10-21,health and environment,5
2021-10-21,international relations,5
2021-10-21,law and crime and politics,5
2021-10-21,politics and elections and economics,5
2021-10-22,armed conflicts and attacks,5
2021-10-22,business and economics,5
2021-10-22,disasters and accidents,5
2021-10-22,health and environment,5
2021-10-22,law and crime and politics,5
2021-10-23,armed conflicts and attacks,6
2021-10-23,disasters and accidents,6
2021-10-23,health and environment,6
2021-10-23,international relations,6
2021-10-23,law and crime and politics,6
2021-10-23,science and technology,6
2021-10-24,armed conflicts and attacks,4
2021-10-24,disasters and accidents,4
2021-10-24,health and environment,4
2021-10-24,politics and elections and economics,4
2021-10-25,armed conflicts and attacks,10
2021-10-25,arts and culture,10
2021-10-25,business and economics,10
2021-10-25,disasters and accidents,10
2021-10-25,health and environment,10
2021-10-25,international relations,10
2021-10-25,law and crime and politics,10
2021-10-25,politics and elections and economics,10
2021-10-25,science and technology,10
2021-10-25,sports,10
2021-10-26,armed conflicts and attacks,7
2021-10-26,arts and culture,7
2021-10-26,business and economics,7
2021-10-26,disasters and accidents,7
2021-10-26,health and environment,7
2021-10-26,international relations,7
2021-10-26,law and crime and politics,7
2021-10-27,armed conflicts and attacks,8
2021-10-27,arts and culture,8
2021-10-27,business and economics,8
2021-10-27,health and environment,8
2021-10-27,international relations,8
2021-10-27,law and crime and politics,8
2021-10-27,politics and elections and economics,8
2021-10-27,sports,8
2021-10-28,armed conflicts and attacks,6
2021-10-28,business and economics,6
2021-10-28,health and environment,6
2021-10-28,international relations,6
2021-10-28,law and crime and politics,6
2021-10-28,sports,6
2021-10-29,armed conflicts and attacks,7
2021-10-29,business and economics,7
2021-10-29,health and environment,7
2021-10-29,international relations,7
2021-10-29,law and crime and politics,7
2021-10-29,politics and elections and economics,7
2021-10-29,science and technology,7
2021-10-30,armed conflicts and attacks,4
2021-10-30,business and economics,4
2021-10-30,health and environment,4
2021-10-30,international relations,4
2021-10-31,armed conflicts and attacks,6
2021-10-31,disasters and accidents,6
2021-10-31,health and environment,6
2021-10-31,international relations,6
2021-10-31,law and crime and politics,6
2021-10-31,politics and elections and economics,6
2021-11-01,disasters and accidents,5
2021-11-01,health and environment,5
2021-11-01,international relations,5
2021-11-01,law and crime and politics,5
2021-11-01,politics and elections and economics,5
